sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
145,2026-09-11T16:05:15.181035+00:00,14.500319,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
146,2026-09-11T16:05:15.280718+00:00,14.600285,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
147,2026-09-11T16:05:15.381051+00:00,14.700310,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
148,2026-09-11T16:05:15.480725+00:00,14.800288,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
149,2026-09-11T16:05:15.581048+00:00,14.900316,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
150,2026-09-11T16:05:15.680750+00:00,15.000292,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
151,2026-09-11T16:05:15.781029+00:00,15.100315,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
152,2026-09-11T16:05:15.880727+00:00,15.200285,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
153,2026-09-11T16:05:15.981175+00:00,15.300388,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
154,2026-09-11T16:05:16.080751+00:00,15.400301,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
155,2026-09-11T16:05:16.181049+00:00,15.500318,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
156,2026-09-11T16:05:16.280726+00:00,15.600286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
157,2026-09-11T16:05:16.381035+00:00,15.700308,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
158,2026-09-11T16:05:16.480726+00:00,15.800283,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
159,2026-09-11T16:05:16.581034+00:00,15.900308,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
160,2026-09-11T16:05:16.680722+00:00,16.000284,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
161,2026-09-11T16:05:16.781042+00:00,16.100312,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
162,2026-09-11T16:05:16.880881+00:00,16.200291,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
163,2026-09-11T16:05:16.981198+00:00,16.300404,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
164,2026-09-11T16:05:17.080742+00:00,16.400300,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
165,2026-09-11T16:05:17.181080+00:00,16.500331,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
166,2026-09-11T16:05:17.280725+00:00,16.600286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
167,2026-09-11T16:05:17.381052+00:00,16.700321,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
168,2026-09-11T16:05:17.480733+00:00,16.800290,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
169,2026-09-11T16:05:17.581043+00:00,16.900314,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
170,2026-09-11T16:05:17.680817+00:00,17.000282,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
171,2026-09-11T16:05:17.781142+00:00,17.100370,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
172,2026-09-11T16:05:17.880742+00:00,17.200293,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
173,2026-09-11T16:05:17.981046+00:00,17.300316,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
174,2026-09-11T16:05:18.080729+00:00,17.400287,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
175,2026-09-11T16:05:18.181029+00:00,17.500310,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
176,2026-09-11T16:05:18.280779+00:00,17.600281,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
177,2026-09-11T16:05:18.380796+00:00,17.700327,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
178,2026-09-11T16:05:18.481067+00:00,17.800323,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
179,2026-09-11T16:05:18.580727+00:00,17.900287,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
180,2026-09-11T16:05:18.681057+00:00,18.000321,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
